,Time,Observed,Predicted
603,3.015,0.047229,0.04421655088663101
604,3.02,-0.003296,-0.00456136604771018
605,3.025,-0.030882,-0.03480032831430435
606,3.03,0.013028,0.008324434980750084
607,3.035,0.005319,0.003710618009790778
608,3.04,0.041917,0.04199261963367462
609,3.045,-0.094606,-0.08344396203756332
610,3.05,0.018846,0.021794093772768974
611,3.055,0.027092,0.03385324031114578
612,3.06,0.013091,0.010709568858146667
613,3.065,-0.015113,-0.014247337356209755
614,3.07,-0.016168,-0.01055195089429617
615,3.075,0.042122,0.04382658377289772
616,3.08,0.016556,0.025498848408460617
617,3.085,-0.077257,-0.0727638453245163
618,3.09,0.024593,0.026524173095822334
619,3.095,0.007825,0.0023999635595828295
620,3.1,0.037839,0.03357677161693573
621,3.105,-0.052775,-0.05077328532934189
622,3.11,-0.000827,-0.002644469728693366
623,3.115,0.046994,0.042045388370752335
624,3.12,-0.004426,-0.004889039322733879
625,3.125,-0.029973,-0.03564980626106262
626,3.13,0.013424,0.00733032263815403
627,3.135,0.005276,0.0032542156986892223
628,3.14,0.040329,0.037904273718595505
629,3.145,-0.094392,-0.08596526831388474
630,3.15,0.023655,0.020296111702919006
631,3.155,0.026848,0.03340655192732811
632,3.16,0.014429,0.010986706241965294
633,3.165,-0.014841,-0.010579871013760567
634,3.17,-0.01808,-0.010503650642931461
635,3.175,0.040923,0.04268067702651024
636,3.18,0.017658,0.025519516319036484
637,3.185,-0.076407,-0.07094760239124298
638,3.19,0.022856,0.024881286546587944
639,3.195,0.007895,0.0018197258468717337
640,3.2,0.039414,0.036179061979055405
641,3.205,-0.050668,-0.047121383249759674
642,3.21,-0.000839,0.0029536490328609943
643,3.215,0.047047,0.04171326756477356
644,3.22,-0.006824,-0.003906792029738426
645,3.225,-0.03018,-0.034800805151462555
646,3.23,0.013862,0.003294730791822076
647,3.235,0.005352,0.0025889500975608826
648,3.24,0.040634,0.037937622517347336
649,3.245,-0.092629,-0.08350025862455368
650,3.25,0.024678,0.02130781300365925
651,3.255,0.02641,0.0315338596701622
652,3.26,0.014505,0.016687598079442978
653,3.265,-0.01617,-0.011113014072179794
654,3.27,-0.018307,-0.016106566414237022
655,3.275,0.041211,0.04299522191286087
656,3.28,0.018618,0.024082746356725693
657,3.285,-0.076783,-0.07121173292398453
658,3.29,0.021121,0.02841091901063919
659,3.295,0.008552,-0.0012907531345263124
660,3.3,0.039306,0.035317886620759964
661,3.305,-0.05057,-0.046771757304668427
662,3.31,-0.001964,0.0038562873378396034
663,3.315,0.047459,0.0401015542447567
664,3.32,-0.008731,-0.007361446972936392
665,3.325,-0.03029,-0.03431595116853714
666,3.33,0.013713,0.004658687859773636
667,3.335,0.005193,0.0034064343199133873
668,3.34,0.038673,0.0379643589258194
669,3.345,-0.092946,-0.08216183632612228
670,3.35,0.024318,0.021404165774583817
671,3.355,0.026681,0.029009826481342316
672,3.36,0.014387,0.01774875447154045
673,3.365,-0.017199,-0.012641733512282372
674,3.37,-0.018826,-0.01948152296245098
675,3.375,0.040599,0.04259639233350754
676,3.38,0.018334,0.024612754583358765
677,3.385,-0.077395,-0.07277502864599228
678,3.39,0.018797,0.027372004464268684
679,3.395,0.00928,-0.0041419644840061665
680,3.4,0.041461,0.034590814262628555
681,3.405,-0.051369,-0.04602232575416565
682,3.41,-0.003307,0.0009934594854712486
683,3.415,0.047972,0.041904810816049576
684,3.42,-0.00997,-0.006541544571518898
685,3.425,-0.031134,-0.03698122501373291
686,3.43,0.01331,0.00646651815623045
687,3.435,0.005298,0.0027663998771458864
688,3.44,0.038848,0.03531961515545845
689,3.445,-0.09259,-0.08234314620494843
